year	author	title	id	lang
1845	Willkomm, Ernst Adolf (1810-1886)	Weisse Sclaven oder die Leiden des Volkes : ELTeC ausgabe	DEU001	de
1863	Auerbach, Berthold (1812-1882)	Der Lehnhold : ELTeC ausgabe	DEU002	de
1859	Ruppius, Otto (1819-1864)	Der Pedlar : ELTeC ausgabe	DEU003	de
NA	Otto, Louise (1819-1895)	Nürnberg. Zweiter Band : ELTeC ausgabe	DEU004	de
1855	Kurz, Hermann (1813-1873)	Der Sonnenwirt : ELTeC ausgabe	DEU005	de
NA	Weerth, Georg (1822-1856)	Fragment eines Romans : ELTeC ausgabe	DEU006	de
1841	Stifter, Adalbert (1805-1868)	Die Mappe meines Urgroßvaters : ELTeC ausgabe	DEU007	de
1863	Auerbach, Berthold (1812-1882)	Der Lautenbacher : ELTeC ausgabe	DEU008	de
1859	Ruppius, Otto (1819-1864)	Das Vermächtnis des Pedlars : ELTeC ausgabe	DEU009	de
1848	Aston, Louise (1814-1871)	Lydia : ELTeC ausgabe	DEU010	de
1855	Freytag, Gustav (1816-1895)	Soll und Haben : ELTeC ausgabe	DEU011	de
1847	Aston, Louise (1814-1871)	Aus dem Leben einer Frau : ELTeC ausgabe	DEU012	de
1856	Auerbach, Berthold (1812-1882)	Barfüßele : ELTeC ausgabe	DEU013	de
1840	Tieck, Ludwig (1773-1853)	Vittoria Accorombona : ELTeC ausgabe	DEU014	de
1840	Arnim, Bettina von (1785-1859)	Die Günderode : ELTeC ausgabe	DEU015	de
1846	Gerstäcker, Friedrich (1816-1872)	Die Regulatoren in Arkansas. Aus dem Waldleben Amerikas : ELTeC ausgabe	DEU016	de
1843	Stifter, Adalbert (1805-1868)	Die Narrenburg : ELTeC ausgabe	DEU017	de
1845	Schopenhauer, Adele (1797-1849)	Anna : ELTeC ausgabe	DEU018	de
1846	Stifter, Adalbert (1805-1868)	Zwei Schwestern : ELTeC ausgabe	DEU019	de
1846	"Hahn-Hahn, Ida Gräfin von
               (1805-1880)"	Sibylle : ELTeC ausgabe	DEU020	de
1843	Lewald, Fanny (1811-1889)	Jenny : ELTeC ausgabe	DEU021	de
1844	Arnim, Bettina von (1785-1859)	Clemens Brentanos Frühlingskranz : ELTeC ausgabe	DEU022	de
1841	Stifter, Adalbert (1805-1868)	Feldblumen : ELTeC ausgabe	DEU023	de
1858	Gutzkow, Karl (1811-1878)	Der Zauberer von Rom : ELTeC ausgabe	DEU024	de
1855	Kürnberger, Ferdinand (1823-1879)	Der Amerika-Müde : ELTeC ausgabe	DEU025	de
1879	Vischer, Friedrich Theodor (1807-1887)	Auch Einer 2 : ELTeC ausgabe	DEU026	de
1876	"Ebner-Eschenbach, Marie von
               (1830-1916)"	Bozena : ELTeC ausgabe	DEU027	de
1918	François, Louise von (1817-1893)	Die letzte Reckenburgerin : ELTeC ausgabe	DEU028	de
1879	Raabe, Wilhelm (1831-1910)	Alte Nester : ELTeC ausgabe	DEU029	de
1864	Freytag, Gustav (1816-1895)	Die verlorene Handschrift : ELTeC ausgabe	DEU030	de
NA	Raabe, Wilhelm (1831-1910)	Der Schüdderump : ELTeC ausgabe	DEU031	de
1874	"Meyer, Conrad Ferdinand
               (1825-1898)"	Jürg Jenatsch : ELTeC ausgabe	DEU032	de
1855	François, Louise von (1817-1893)	Die Geschichte meines Urgroßvaters : ELTeC ausgabe	DEU033	de
1879	Vischer, Friedrich Theodor (1807-1887)	Auch Einer 1 : ELTeC ausgabe	DEU034	de
1878	Fontane, Theodor (1819-1898)	Vor dem Sturm : ELTeC ausgabe	DEU035	de
1879	Keller, Gottfried (1819-1890)	Der grüne Heinrich2 [Zweite Fassung] : ELTeC ausgabe	DEU036	de
1871	Marlitt, Eugenie (1825-1887)	Das Heideprinzeßchen : ELTeC ausgabe	DEU037	de
1863	Raabe, Wilhelm (1831-1910)	Der Hungerpastor : ELTeC ausgabe	DEU038	de
1861	Spielhagen, Friedrich (1823-1911)	Problematische Naturen. Erste Abtheilung : ELTeC ausgabe	DEU039	de
1866	Marlitt, Eugenie (1825-1887)	Goldelse : ELTeC ausgabe	DEU040	de
1868	Marlitt, Eugenie (1825-1887)	Das Geheimnis der alten Mamsell : ELTeC ausgabe	DEU041	de
1865	Möllhausen, Balduin (1825-1905)	Die Mandanenwaise : ELTeC ausgabe	DEU042	de
1869	Spielhagen, Friedrich (1823-1911)	Hammer und Amboß : ELTeC ausgabe	DEU043	de
1876	Dahn, Felix (1834-1912)	Kampf um Rom : ELTeC ausgabe	DEU044	de
1855	Stifter, Adalbert (1805-1868)	Witiko : ELTeC ausgabe	DEU045	de
1879	Fontane, Theodor (1819-1898)	Grete Minde : ELTeC ausgabe	DEU046	de
1862	François, Louise von (1817-1893)	Judith die Kluswirtin : ELTeC ausgabe	DEU047	de
1872	Freytag, Gustav (1816-1895)	Die Ahnen : ELTeC ausgabe	DEU048	de
NA	Raabe, Wilhelm (1831-1910)	Die Leute aus dem Walde, ihre Sterne, Wege und Schicksale : ELTeC ausgabe	DEU049	de
1867	Raabe, Wilhelm (1831-1910)	Abu Telfan oder Die Heimkehr vom Mondgebirge : ELTeC ausgabe	DEU050	de
1885	Fontane, Theodor (1819-1898)	Unterm Birnbaum : ELTeC ausgabe	DEU051	de
1880	Spyri, Johanna (1827-1901)	Heidis Lehr- und Wanderjahre : ELTeC ausgabe	DEU052	de
1884	Fontane, Theodor (1819-1898)	Graf Petöfy : ELTeC ausgabe	DEU053	de
1898	May, Karl (1842-1912)	Am Jenseits : ELTeC ausgabe	DEU054	de
1890	Bahr, Hermann (1836-1934)	Die gute Schule : ELTeC ausgabe	DEU055	de
1889	Conradi, Hermann (1862-1890)	Adam Mensch : ELTeC ausgabe	DEU056	de
1896	Dohm, Hedwig (1831-1919)	Sibilla Dalmar : ELTeC ausgabe	DEU057	de
1880	"Ebner-Eschenbach, Marie von
               (1830-1916)"	Lotti, die Uhrmacherin : ELTeC ausgabe	DEU058	de
1887	Fontane, Theodor (1819-1898)	Irrungen, Wirrungen : ELTeC ausgabe	DEU059	de
1897	Janitschek, Maria (1859-1927)	Die Amazonenschlacht : ELTeC ausgabe	DEU060	de
1888	Bleibtreu, Karl (1859-1928)	Größenwahn: ELTeC ausgabe	DEU061	de
1895	Polenz, Wilhelm von (1861-1903)	Der Büttnerbauer : ELTeC ausgabe	DEU062	de
1894	Dohm, Hedwig (1831-1919)	Wie Frauen werden : ELTeC ausgabe	DEU063	de
1892	Christen, Ada (1839-1901)	Jungfer Mutter : ELTeC ausgabe	DEU064	de
1897	Spielhagen, Friedrich (1823-1911)	Zum Zeitvertreib : ELTeC ausgabe	DEU065	de
1897	Fontane, Theodor (1819-1898)	Der Stechlin : ELTeC ausgabe	DEU066	de
1895	Ganghofer, Ludwig (1855-1920)	Schloß Hubertus : ELTeC ausgabe	DEU067	de
1898	Spitteler, Carl (1845-1925)	Conrad : ELTeC ausgabe	DEU068	de
1888	Kretzer, Max (1854-1941)	Meister Timpe : ELTeC ausgabe	DEU069	de
1882	Fontane, Theodor (1819-1898)	Schach von Wuthenow : ELTeC ausgabe	DEU070	de
