Source,Target,Weight,Type
Barvinok_SkoshenyiTsvit,Franko_PerekhresniStezhky,7,undirected
Barvinok_SkoshenyiTsvit,Franko_ZakharBerkut,31,undirected
Barvinok_SkoshenyiTsvit,Iatskiv_Blyskavytsi,1,undirected
Barvinok_SkoshenyiTsvit,Khotkevych_KaminnaDushia,9,undirected
Barvinok_SkoshenyiTsvit,Kobylianska_Liudyna,9,undirected
Barvinok_SkoshenyiTsvit,Kobylianska_VNediliuRanoZilliaKopala,9,undirected
Barvinok_SkoshenyiTsvit,Mordovets_DviDoli,10,undirected
Barvinok_SkoshenyiTsvit,Nazaruk_KniazYaroslavOsmomysl,12,undirected
Barvinok_SkoshenyiTsvit,Ukrainka_Pryiazn,3,undirected
Barvinok_SkoshenyiTsvit,Vorobkevych_MestChornohortsia,1,undirected
Cherniavskyi_VaeVictis,Hrinchenko_BratNaBrata,24,undirected
Cherniavskyi_VaeVictis,Hrinchenko_SeredTemnoiNochi,30,undirected
Cherniavskyi_VaeVictis,Krymskyi_NePorozumiiutsia,1,undirected
Cherniavskyi_VaeVictis,Myrnyi_KhibaRevutVoly,16,undirected
Fedkovych_Farmazony,Franko_PerekhresniStezhky,13,undirected
Fedkovych_Farmazony,Khotkevych_KaminnaDushia,15,undirected
Fedkovych_Farmazony,Kulish_ChornaRada,22,undirected
Fedkovych_Farmazony,Kvitka_KozyrDivka,2,undirected
Fedkovych_Farmazony,Makovei_KlopotySavchykhy,1,undirected
Fedkovych_Farmazony,Mordovets_DviDoli,4,undirected
Fedkovych_Farmazony,Storozhenko_MarkoProkliatyi,3,undirected
Franko_BoaConstrictor,Franko_PerekhresniStezhky,27,undirected
Franko_BoaConstrictor,Franko_ZakharBerkut,12,undirected
Franko_BoaConstrictor,Khotkevych_KaminnaDushia,1,undirected
Franko_BoaConstrictor,Kotsiubynskyi_TiniZabutykhPredkiv,15,undirected
Franko_BoaConstrictor,Nazaruk_KniazYaroslavOsmomysl,38,undirected
Franko_PerekhresniStezhky,Barvinok_SkoshenyiTsvit,7,undirected
Franko_PerekhresniStezhky,Fedkovych_Farmazony,13,undirected
Franko_PerekhresniStezhky,Franko_BoaConstrictor,27,undirected
Franko_PerekhresniStezhky,Franko_ZakharBerkut,59,undirected
Franko_PerekhresniStezhky,Iatskiv_Blyskavytsi,26,undirected
Franko_PerekhresniStezhky,Khotkevych_KaminnaDushia,30,undirected
Franko_PerekhresniStezhky,Kobylianska_Liudyna,21,undirected
Franko_PerekhresniStezhky,Kobylianska_Zemlia,1,undirected
Franko_PerekhresniStezhky,Konyskyi_SemenZhuk,7,undirected
Franko_PerekhresniStezhky,Koroliv_Chmelyk,21,undirected
Franko_PerekhresniStezhky,Krymskyi_NePorozumiiutsia,2,undirected
Franko_PerekhresniStezhky,Martovych_Zabobon,38,undirected
Franko_PerekhresniStezhky,Nazaruk_KniazYaroslavOsmomysl,22,undirected
Franko_PerekhresniStezhky,Pchilka_Tovaryshky,2,undirected
Franko_PerekhresniStezhky,Ukrainka_NadMorem,4,undirected
