"Barvinok_SkoshenyiTsvit" "Cherniavskyi_VaeVictis" "Fedkovych_Farmazony" "Franko_BoaConstrictor" "Franko_PerekhresniStezhky" "Franko_ZakharBerkut" "Hrinchenko_BratNaBrata" "Hrinchenko_PidTykhymyVerbamy" "Hrinchenko_SeredTemnoiNochi" "Iatskiv_Blyskavytsi" "Kashchenko_BortsiZaPravdu" "Kashchenko_PidKorsunem" "Kashchenko_ZDnipraNaDunai" "Khotkevych_KaminnaDushia" "Kobylianska_Liudyna" "Kobylianska_VNediliuRanoZilliaKopala" "Kobylianska_Zemlia" "Konyskyi_BabaIavdokha" "Konyskyi_KhvoraDusha" "Konyskyi_SemenZhuk" "Koroliv_Chmelyk" "Kotsiubynskyi_TiniZabutykhPredkiv" "Krymskyi_NePorozumiiutsia" "Kulish_ChornaRada" "KulishBilozerska_NeBuloZmalku" "Kvitka_KonotopskaVidma" "Kvitka_KozyrDivka" "Kvitka_SerdeshnaOksana" "Levytskyi_HetmanIvanVyhovskyi" "Makovei_KlopotySavchykhy" "Martovych_Zabobon" "Mordovets_DviDoli" "Myrnyi_Durnytsia" "Myrnyi_KhibaRevutVoly" "Myrnyi_LykhyiPoputav" "Nazaruk_KniazYaroslavOsmomysl" "Pchilka_Tovaryshky" "Romanova_Akula" "Storozhenko_MarkoProkliatyi" "Teslenko_StracheneZhyttie" "Ukrainka_NadMorem" "Ukrainka_Pryiazn" "Ukrainka_Zhal" "Vorobkevych_MestChornohortsia" "Vovchok_DeviatBrativ" "Vovchok_Instytutka" "Vovchok_Kozachka" "Vovchok_VidSebeNeVtechesh" "Vynnychenko_ZapyskyKyrpatohoMefistofelia"
"і" 3.11415213596324 3.38252948238119 4.63770239577991 3.18672328489618 3.01659764222389 3.30889676879557 2.72450532724505 2.60380568332178 2.91656657858916 3.38090679662344 2.82865563114551 1.4953684676425 1.09045491665466 3.09038030326577 2.76428838251774 3.90913893291072 2.91272289912671 3.36349331235248 3.32268370607029 3.45746813116331 1.22045603381556 3.34664384864043 1.62513542795233 2.31408497304451 2.96893432953205 0.0937463380336706 5.96709974853311 4.85591728992521 0.0138206581146109 2.92162734643196 0.716603087454098 4.20729868302001 2.93382005002366 1.32064945558078 2.38184899265675 3.25302805938414 2.02841810388471 3.26926700584134 4.75100171722954 0.0683526999316473 3.06198655713219 2.60361317747078 2.31523178807947 4.06173842404549 3.52482375881206 2.35384092454113 2.39556523460701 1.79432760949257 2.14523058100574
"не" 2.52021590384654 1.94901490007768 2.27855520550956 2.14266235537029 2.38425607185603 1.97418223833619 2.09284627092846 2.91096969315103 2.77043798542718 2.34966495518232 2.04643732613546 1.96010243115931 1.62847672575299 2.54978576027352 2.35338064998132 2.94915933475418 2.32285729226586 3.9601363755573 4.35569755058573 3.18087068067025 2.09759679307813 1.52120174938201 2.07820348665419 2.52817189233374 3.01808887141172 2.43349869145736 2.89710813076278 3.18961724593049 1.84568607003304 3.18457380761084 2.88899188325193 2.06846285312154 2.31866423308322 2.47489515601554 2.57013745057428 1.7399476022326 1.95754159775895 2.91124929338609 2.23597595878649 1.5123034859877 2.0057612290622 2.70988310308183 2.42119205298013 1.74203447964618 1.83740812959352 2.86369816451394 3.16768956642249 2.64325680108046 2.31762759464457
"що" 1.42263779922548 1.51119271237907 2.16865704447212 1.71802563403327 2.07920687208058 1.48213076218176 1.69710806697108 2.02570726482263 1.62142685563296 1.68827778261248 1.6580824634368 1.9253264202839 1.65729932266897 1.09783984192882 1.91579059715033 1.6084667650327 1.90242116822674 1.75059008654603 1.58679446219382 1.87204361420669 2.2087277490028 1.36908157444381 1.9501625135428 1.81390007979603 1.34683444750295 2.10148041092145 2.16366303436714 2.51869775626925 1.02021585355128 2.34460594551165 2.32925713334997 1.21644717000101 1.91982694517677 1.28890769881882 1.47806439465261 2.0437027755629 1.60990921057072 1.71471641228566 1.40240412135089 1.52084757347915 1.84572708844554 1.35198960916283 1.92847682119205 1.88645184583446 1.85240737963102 1.72501699524133 1.48485448426054 1.44703839475207 1.88524476205041
"на" 1.49487328691534 1.56062424969988 1.68510513590739 1.64011063929253 1.59833070299012 1.81481333917686 1.7427701674277 1.32001764224056 1.58539514773 1.82751718736402 2.0629630649737 1.93481078688628 2.37306047941586 1.77164043247563 1.19536794919686 1.40809151684063 1.58657114469487 2.05874639391555 2.23642172523962 1.69566263128357 1.61007587333717 1.98390061481904 1.73347778981582 1.7029641307098 1.93668895005899 1.71087066911449 1.35163453478625 1.60030796304443 2.27915216544584 1.65071945073406 1.90618798055783 1.97044334975369 1.48718988710877 1.98049324766265 1.87347015627942 1.83866803356495 1.47490634175976 1.80893159977388 2.16084716657127 1.88824333561176 1.83505814573776 1.72983823355768 1.51523178807947 1.38099106417547 1.56742162891855 1.52107409925221 1.10869134824787 1.77503376422921 1.72675073338246
"з" 1.35040231153561 1.52531600875644 1.15759396292769 1.2778059137481 1.32399826291428 1.38252520020718 1.75038051750381 1.21447923886334 1.54135639362639 1.46636498128971 2.37970639270664 2.07707628592204 2.11846087332469 1.17776347046156 1.38214419125887 1.743264659271 1.18391465774199 1.42276422764228 1.55484558040469 1.56738555279404 1.50489836147989 1.27400646510743 1.49709445484093 1.19304801385726 1.1305544632324 1.30073044021718 1.22066219614417 1.29784425868896 2.11079142114058 1.2343875538675 1.20741084055284 1.96039006735699 1.24383154194551 1.61209649494056 1.14855959329693 1.77791699889889 1.80566337034662 1.02694554362163 1.92472810532341 1.28161312371839 1.50432092179665 1.7652615420947 1.25562913907285 1.46222583265638 1.2074396280186 0.917743031951054 0.851316570976044 0.945398417904688 1.44452013847373
"а" 1.51895178281197 1.49706941600169 2.29320829364789 1.0245821808407 1.16935526580589 1.01796884338021 1.38508371385084 2.12021926784702 1.92369284970774 0.787572883125925 1.06591015506652 1.11283234801303 1.12888504587597 1.75276957573874 1.37680772719996 1.59571561287502 1.33765622548763 2.26855494361395 1.88498402555911 1.2366712098132 1.47050068464607 1.28668314635228 1.52664237171279 1.85671746365388 2.09398348407393 1.98820358579743 2.12699077954736 1.35833699956005 0.924727670213969 2.64407274852093 1.3167433182407 1.73670453403036 1.92658689920909 1.65441883728983 1.97702880813406 0.889433116907772 1.14414931317291 1.16826832485397 1.49184315970235 1.97368421052632 0.938866958284434 1.64127996221514 0.852980132450331 0.794295514035563 1.19994000299985 2.01393609789259 2.15798851712532 1.61103607949064 0.849472381720355
"в" 1.44872283644682 1.50413106419038 0.534837717048868 1.78814912929993 1.42991812394742 1.43830431491294 1.3013698630137 1.21132883876252 1.30114500760669 2.3235575667914 0.300217588894704 0.970566848977269 1.05682855358601 1.46415647270386 1.33945247878756 1.86895458768239 1.501856403284 1.23918174665618 1.32055378061768 1.50926000160346 1.79264815807055 1.93319388983964 1.22131389737024 1.15801560888266 0.865119937082186 0.312487793445569 0.335289186923722 0.241970963484382 2.68748979155935 1.12482652837631 0.982803902694095 0.578063737810395 0.723315081457446 1.33315378400215 0.367162492939183 1.91650529673083 1.33315332950825 1.856039193518 0.779908414424728 1.56356801093643 1.56833457804332 1.33427795489432 1.56291390728477 0.695008574781117 0.56247187640618 0.968728755948335 1.02949910908731 0.684931506849315 1.4917902873747
"й" 0.405321347593154 2.09024786385142 0.0659388966224632 0.148038490007402 0.381311499719312 0.739073269851389 1.66666666666667 1.9942032638145 1.73352550244215 0.265425115307632 1.36888203376759 2.65878410420157 3.0696065715521 1.12226095064716 0.837824857249586 0.449933511849464 1.33556450347749 0.996590611067401 1.21405750798722 0.944039124508939 2.41246783486469 0.830322621537681 1.34935487048163 1.62316809715654 2.37907982697601 1.28119995312683 0.48197820620285 1.35283765948086 1.2325514191303 1.57767876707326 1.61859602837891 1.03046144566201 1.05455282904076 1.81505136393367 1.60986631519488 1.29475642632039 1.2352762496203 0.386282268701715 0.99813966800229 1.50375939849624 0.277392510402219 1.12173810367222 0.540397350993377 0.216626049282426 2.28738563071846 1.86097892590075 2.77172837061968 1.43739147212039 2.15496267048535
"до" 1.10761081124466 0.932137560906716 0.989083449336948 1.01679068136663 1.13863850610628 0.97613450735089 0.928462709284627 0.995526431856846 0.916806789975178 0.909407362283526 1.3578648745421 1.52382156744965 1.42191478118845 0.621628221921275 0.960563530604621 1.02191376577955 1.16613502065575 1.0752688172043 1.28860489882854 0.930008819049146 0.973718851911386 0.874691005894657 1.10312222988279 0.92835873182694 1.0125835627212 0.828092652630757 0.822506286672255 0.978882534095909 1.19611513864633 1.61419910890366 1.40230786599641 1.16366743741832 1.06131278307308 0.831056904313031 0.903784598004142 1.27482249307059 0.695264774376456 0.527605049934049 0.840726960503721 1.74299384825701 0.842846473914435 1.15125752745306 0.996026490066225 0.929686794837079 0.794960251987401 0.841264445955133 0.910710750346466 1.1383368705383 0.974599246458215
"як" 1.11363043521881 0.826212838076407 1.6045131511466 0.603841209240718 0.60268400927858 0.452209251364596 0.791476407914764 1.19715203830887 0.948834974777804 1.14872508920024 0.663783843335996 0.679712939837501 0.720564922899553 0.709322203228027 0.688403863599979 1.12574457620635 1.19437326779271 0.642538683451351 0.894568690095847 0.741601860017638 0.97636482705245 0.976104455853458 0.935684034275584 1.32344641015161 1.5631144317735 1.27338775829069 1.27305113160101 1.71579410470744 0.860650073500773 1.2709078956979 0.987557488680523 1.21644717000101 1.35199080646252 1.36585741218114 1.83581246469591 1.21502069332118 0.843767930068514 1.00810250612399 1.41313680595306 1.05092276144908 0.661474447882215 0.991852639036486 0.741721854304636 1.11020850257243 1.04244787760612 1.37661454792658 1.50465254405068 1.59174223422728 0.781347755363076
